Track ID,Track Name,Artist Name,Album Name,Popularity,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Tempo,Time Signature,Valence
0JP9xo3adEtGSdUEISiszL,Moonlight,XXXTENTACION,?,84,0.556,0.921,135090,0.537,0.00404,128.009,4,0.711
0k2GOhqsrxDTAbFFSdNJjT,Temperature,Sean Paul,The Trinity,83,0.106,0.951,218573,0.6,0,125.04,4,0.822
0k6ahjMeMG9E8cPzSanQhF,"Kalinka, Kalinka",Ivan Rebroff,Best of Ivan Rebroff (18 Hits),34,0.957,0.265,244773,0.363,0.00083,168.577,5,0.121
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,24K Magic,89,0.013,0.853,206693,0.56,0,134.066,4,0.86
0L0DM33NAe6PjQ1BB4cEjJ,Us Against The World,Darren Styles,Us Against The World,54,0.0316,0.531,271059,0.896,0.00723,169.955,4,0.34
0ll8uFnc0nANY35E0Lfxvg,Somewhere Only We Know,Keane,Hopes And Fears,79,0.0794,0.453,236160,0.655,0.00000761,172.012,4,0.368
0lLdorYw7lVrJydTINhWdI,It's Beginning to Look a Lot like Christmas,Michael Bublé,Christmas,72,0.908,0.339,206640,0.214,0.00000747,94.775,3,0.363
0lodMO0qK83vfPiiD7FMEt,TOPIA TWINS (feat. Rob49 & 21 Savage),Travis Scott,UTOPIA,83,0.06,0.715,223174,0.567,0,160.098,4,0.332
0lOzGDHcPlUB1ZvXMWQ0Oh,One Too Many Mornings,The Chemical Brothers,Exit Planet Dust,58,0.171,0.62,253160,0.558,0.916,171.827,4,0.539
0lP4HYLmvowOKdsQ7CVkuq,The Kill,Thirty Seconds To Mars,A Beautiful Lie,81,0.0014,0.179,231533,0.912,0.000294,182.99,3,0.289
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,DJ Snake,Encore,86,0.0863,0.649,205947,0.716,0.0000263,99.988,4,0.163
0M3adYbGtyRHACP86dey1H,Throne,Bring Me The Horizon,That's The Spirit,78,0.000455,0.426,191520,0.888,0,144.111,4,0.387
0N5efdQO5GlMZwyPQFiQIl,Hard Techno Rave,D-Stroyer,Time To Rave,57,0.000442,0.558,185806,0.981,0.0276,154.97,4,0.594
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,Avicii,TRUE,88,0.0038,0.532,247427,0.783,0.0012,124.08,4,0.643
0O26gtfjuscAOnQobjNPPL,To the Hellfire,Lorna Shore,To the Hellfire,66,2.68E-05,0.388,369786,0.83,0.0212,129.98,4,0.144
0o9zmvc5f3EFApU52PPIyW,Shinunoga E-Wa,Fujii Kaze,HELP EVER HURT NEVER,82,0.166,0.6,185573,0.76,0.0000409,158.078,4,0.519
0oA9wBGDY4uyILLg4GymWP,Tom's Diner,AnnenMayKantereit,Tom's Diner,76,0.376,0.68,269333,0.428,0.000344,98.222,4,0.334
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),88,0.0644,0.828,257800,0.492,0.00428,120.151,4,0.789
0oNyJ1uKqzEJuse2I1eaSu,Fool For Love - Chris Lake Edit,Harry Romero,Fool For Love,44,0.00098,0.653,239221,0.943,0.0849,126.986,4,0.605
0OvO2X2Q3i98dc5RcgEN3x,Jungle,Alok,Jungle,82,0.0524,0.596,175500,0.667,0.000109,140.002,4,0.217
0P7DoyGrr4Wp9w5TotEtUC,The Weight - Remastered 2000,The Band,Music From Big Pink (Remastered),73,0.373,0.63,274493,0.551,0.0000575,143.868,4,0.518
0PAcdVzhPO4gq1Iym9ESnK,Thinkin’ Bout Me,Morgan Wallen,One Thing At A Time,86,0.492,0.656,177388,0.757,0,139.971,4,0.429
0PDCewmZCp0P5s00bptcdd,This Will Be (An Everlasting Love),Natalie Cole,Inseparable,76,0.228,0.685,171960,0.623,0.00234,126.739,4,0.896
0q7iO29wLtAFdolXFtCNR4,Spooky Forest,Dosi,A Lofi Chill Halloween,56,0.945,0.615,120000,0.157,0.957,83.972,3,0.108
0QGCdjqBPwvZcH9tqDolSY,Mind Garden,Lawrence Walther,Mind Garden,62,0.581,0.485,195429,0.412,0.773,139.676,4,0.0393
0qMip0B2D4ePEjBJvAtYre,紅蓮華,LiSA,LEO-NiNE,76,0.00321,0.541,237587,0.977,0.0000513,134.938,4,0.263
0QQtzbrF9uxXLTXC16eJin,Fen,Porya Hatami,Shallow,26,0.946,0.131,1282000,0.215,0.51,73.216,4,0.0324
0QRO8Mz2U4nXKBnFybworx,Heaven Sent,The Steeldrivers,The SteelDrivers,64,0.607,0.637,228120,0.675,0.00449,107.273,4,0.741
0QZ5yyl6B6utIWkxeBDxQN,The Night We Met,Lord Huron,Strange Trails,82,0.969,0.545,208212,0.366,0.267,86.997,3,0.1
0RbaD2rw0HmpfflXFH9DKu,The One I Loved Back Then (The Corvette Song),George Jones,Who's Gonna Fill Their Shoes,60,0.517,0.644,150520,0.468,0,159.498,4,0.959
0RdkUcYvE4rpe8FiHH6i2h,Uninvaded Sleep,Alphaxone,Shadows of Forgotten Legends,23,0.788,0.181,399158,0.198,0.81,91.455,3,0.0387
0rHToGels2lt8Y0mCYoF90,Deck The Halls,Nat King Cole,The Christmas Song (Expanded Edition),76,0.742,0.684,68760,0.437,0.0000158,107.607,4,0.964
0RLLvYBopDwooCyvnTwgYu,F.N,Lil Tjay,True 2 Myself,79,0.354,0.567,224000,0.515,0,120.1,1,0.321
0RoA7ObU6phWpqhlC9zH4Z,A Million Dreams,Ziv Zaifman,The Greatest Showman (Original Motion Picture Soundtrack),75,0.243,0.265,269453,0.312,0,54.747,3,0.0998
0rRboI6IRuGx56Dq3UdYY4,Because I Got High,Afroman,The Good Times,69,0.169,0.802,197760,0.341,0,166.01,4,0.849
0S5MCBH1qTVCsckidwvS8G,Colors of the Wind,Disney Peaceful Guitar,Disney Guitar: Happy,63,0.891,0.469,193327,0.248,0.886,179.51,4,0.333
0SDh7AAKlUSzzzXfuB1aVw,Memory Arc,Rival Consoles,Persona,55,0.811,0.126,133206,0.204,0.834,79.158,3,0.0393
0SpkyS1Q4MD8GaVcP5YjT4,Sunsetz,Cigarettes After Sex,Cigarettes After Sex,85,0.0527,0.405,215150,0.479,0.795,75.37,4,0.131
0tlJgLE8ddOq2L2k6YBc2y,Believe For It (feat. Lauren Daigle),CeCe Winans,Believe For It (feat. Lauren Daigle),56,0.0623,0.275,338194,0.643,0,157.167,4,0.172
0TVNasZT7dOG7EJAxilDx1,Autumn Leaves,Otaam,Autumn Leaves,56,0.851,0.575,123429,0.321,0.885,140.052,4,0.214
0UQDSP8cz6WmLJckO5jqUQ,I Smile,Kirk Franklin,Hello Fear,60,0.223,0.745,307973,0.753,0,144.057,4,0.589
0UzymivvUH5s8z4PeWZJaK,FEVER,ENHYPEN,BORDER : CARNIVAL,78,0.0642,0.6,172107,0.713,0,72.999,4,0.471
0v1nobrUSVLIXrYaI4zwkw,STFU,Crankdat,STFU,61,0.001,0.4,156924,0.991,0.41,136.261,4,0.207
0V5cvmTKsYmF5FmGGEAfmS,Je te laisserai des mots,Patrick Watson,Je te laisserai des mots,86,0.989,0.303,160853,0.187,0.489,132.731,4,0.213
0VjBlyHOKvMwbSdMmyiFEp,She Bad,Khantrast,She Bad,68,0.122,0.589,105535,0.845,0,170.225,4,0.664
0VzBKgimNRMauaqzT2rEnS,Go Down Deh (feat. Shaggy and Sean Paul),Spice,Go Down Deh (feat. Shaggy and Sean Paul),71,0.12,0.817,154667,0.8,0.000039,90.016,4,0.534
0W4Kpfp1w2xkY3PrV714B7,Ho Hey,The Lumineers,The Lumineers,79,0.794,0.685,163133,0.466,0.00000206,79.936,4,0.353
0Wh99eifNTNqDFRtzWhCE2,Corcovado (Quiet Nights Of Quiet Stars),Stan Getz,Getz/Gilberto (Expanded Edition),64,0.916,0.52,256560,0.132,0.00101,127.355,4,0.377
0wOcpPyQCirtTSWiLw8C7o,Particle Storm,Alphaxone,Chronosphere,27,0.956,0.0694,388574,0.0564,0.906,78.287,3,0.0346
0WoFs3EdGOx58yX5BtXvOa,Your Love,The Outfield,Play Deep,79,0.121,0.578,216467,0.654,0.00000362,129.513,4,0.621
0wokdbjRBEVknN1c6FBf9S,LION (feat. Chris Brown & Brandon Lake),Elevation Worship,LION,67,0.0465,0.436,354305,0.547,0,134.035,4,0.0613
0wqeaDeaKq14IuQESPqBEJ,Lava,Kuana Torres Kahele,"Lava (From ""Lava"")",61,0.938,0.478,346493,0.212,0,74.643,4,0.431
0WSa1sucoNRcEeULlZVQXj,Can You Feel My Heart,Bring Me The Horizon,Sempiternal (Expanded Edition),80,0.00201,0.15,228147,0.859,0.194,170.527,5,0.354
0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Rema,Calm Down (with Selena Gomez),90,0.382,0.801,239318,0.806,0.000669,106.999,4,0.802
0Wv643k6s2pxZ6FjWzdo5v,Katyusha,Georgi Vinogradov,Wartime Songs,34,0.347,0.67,138006,0.157,0.00342,125.718,4,0.437
0xoyUiHhxVH4gwb0CRgNmg,Like A Villain,Bad Omens,THE DEATH OF PEACE OF MIND,75,0.000696,0.456,210685,0.915,0.0000995,154.946,4,0.403
0y6DSMwFO6cLKN1XB85cGV,A Day Without Rain,Enya,A Day Without Rain,66,0.907,0.23,156880,0.159,0.924,70.614,4,0.039
0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,Cigarettes After Sex,Cigarettes After Sex,90,0.0205,0.37,290617,0.467,0.572,94.485,4,0.182
0YZEYxd1oiqZRFhnnmTKKi,Another Life,Motionless In White,Disguise,75,5.08E-05,0.39,205394,0.939,0,161.997,4,0.495
